split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
profile,noise_high,noise_high,qam16_bw20_bo058,67,1,52589.0391377472,-171.1412720994049,8.76896918681824,-133.058806358295,2,1,52584.1809675969,-175.99944224970386,8.7684533253894,-133.061842996907,14,52760.1804098466,0.0,8.7502251829101,-132.84763580527,2,52760.1804098466,0,0,550878,0,5,100,local_search,14,52760.1804098466,0.0,8.7502251829101,-132.84763580527,-175.99944224970386,1
profile,noise_high,noise_high,qam16_bw20_bo070,41,1,58665.643321766,1051.1049949480002,7.77856642663212,-134.645657464929,5,1,58512.4410811067,897.9027542886979,7.77090548098856,-134.649088069844,14,57614.538326818,0.0,7.68613674837558,-134.068562158584,5,57614.538326818,612,100,1786761,0,5,100,local_search,14,57614.538326818,0.0,7.68613674837558,-134.068562158584,897.9027542886979,1
profile,noise_high,noise_high,qam16_bw20_bo070,53,1,58693.827093121,-427.32085505239957,8.80569692402625,-142.760469341008,5,1,58563.5381107785,-557.6098373948989,8.79976401576162,-142.761318875662,14,59121.1479481734,0.0,8.76191794702337,-144.366109242013,5,59121.1479481734,262,2,448250,0,5,100,local_search,14,59121.1479481734,0.0,8.76191794702337,-144.366109242013,-557.6098373948989,1
profile,noise_high,noise_high,qam16_bw20_bo070,67,1,53814.3167882679,24.120524342397403,8.80395527598328,-133.100695994627,5,1,53718.0990202756,-72.09724364989961,8.80046659033679,-133.098339789545,14,53790.1962639255,0.0,8.76263667275344,-132.879765362321,5,53790.1962639255,99,9,529849,0,5,100,local_search,14,53790.1962639255,0.0,8.76263667275344,-132.879765362321,-72.09724364989961,1
profile,noise_high,noise_high,qam16_bw40_bo058,41,1,51183.828382192,261.8146288627977,5.5415460948594,-144.341628065245,2,1,51169.0009108454,246.9871575162033,5.53872798285695,-144.334058819525,14,50922.0137533292,0.0,5.47635352290866,-144.446770685709,2,50922.0137533292,0,0,1396784,5,5,100,direct,1,51169.0009108454,246.9871575162033,5.53872798285695,-144.334058819525,246.9871575162033,0
profile,noise_high,noise_high,qam16_bw40_bo058,53,1,51831.0440622003,413.5922333195995,6.59395720216735,-144.606858202119,2,1,51816.7215897344,399.26976085369824,6.59383988396048,-144.592075419071,14,51417.4518288807,0.0,6.56676335750693,-144.296619576935,2,51417.4518288807,126,2,735849,0,5,100,local_search,14,51417.4518288807,0.0,6.56676335750693,-144.296619576935,399.26976085369824,1
profile,noise_high,noise_high,qam16_bw40_bo058,67,1,50872.3841886604,-140.7995607937046,6.73642554787939,-148.041546610376,2,1,50864.001794349,-149.18195510510122,6.73557089272433,-148.035418630185,14,51013.1837494541,0.0,6.68853285803561,-147.905206026342,2,51013.1837494541,2,2,610358,0,5,100,local_search,14,51013.1837494541,0.0,6.68853285803561,-147.905206026342,-149.18195510510122,1
profile,noise_high,noise_high,qam16_bw40_bo070,41,1,55204.6474863157,528.5404124732959,5.74722508909308,-144.000706986168,5,1,55070.4101203948,394.3030465523989,5.73873041731306,-144.006701666691,14,54676.1070738424,0.0,5.68627404885071,-144.109364666645,5,54676.1070738424,118,3,985590,0,5,100,local_search,14,54676.1070738424,0.0,5.68627404885071,-144.109364666645,394.3030465523989,1
profile,noise_high,noise_high,qam16_bw40_bo070,53,1,54948.7078383186,871.4870831193984,6.7950335752457,-144.207962623693,5,1,54795.4703700575,718.2496148582941,6.78562990240732,-144.218021937226,14,54077.2207551992,0.0,6.76401381506739,-143.957460718892,5,54077.2207551992,642,8,710918,0,5,100,local_search,14,54077.2207551992,0.0,6.76401381506739,-143.957460718892,718.2496148582941,1
profile,noise_high,noise_high,qam16_bw40_bo070,67,1,55239.7175829807,477.5709679686988,6.94597981679712,-147.857107334489,5,1,55049.6356748651,287.4890598530983,6.93576580344842,-147.860578023799,14,54762.146615012,0.0,6.86804109269739,-147.745071070983,5,54762.146615012,679,56,488150,0,5,100,local_search,14,54762.146615012,0.0,6.86804109269739,-147.745071070983,287.4890598530983,1
